ts,phase,lane,label,mode,mem_frac,radix,cuda_graph_max_bs,chunked_prefill,extra_args,workload,isl,osl,conc,num_prompts,status,fatal,out_tps,total_tps,req_tps,conc_ach,accept_len,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,mean_itl_ms,mean_e2e_ms,median_e2e_ms,gen_tok,retok_tok,retok_div_pct,cache_hit_pct,max_total_num_tokens,max_running_requests,avail_gpu_mem_gb,mamba_cap,mamba_slots,run_med,run_max,tok_usage_max,mamba_usage_max,sched_accept_med,queue_max,retract_n,cudagraph,boot_s,bench_s,git_sha
2026-07-29T09:16:44+00:00,p1,mem-nospec,p1-nospec-mf0.85,nospec,0.85,0,256,default,"",stress,16384,256,96,96,OK,"",144.46,9390.2,0.5643,71.86,NA,80536.75,72409.92,156180.22,183.52,180.84,184.36,127333.92,88075.38,24576,24457,0.484,NA,838048,370,35.13,370,1,46,50,1,0.14,NA,46,0,True,194,187,3d35b45f7
2026-07-29T09:20:38+00:00,p1,mem-nospec,p1-nospec-mf0.95,nospec,0.95,0,256,default,"",stress,16384,256,96,96,CRASH,"torch.OutOfMemoryError: HIP out of memory. Tried to allocate 1.75 GiB. GPU 1 has a total capacity of 287.98 GiB of which 1.01 GiB is free. Of the allocated memory 273.38 GiB is allocated by PyTorch  with 238.00 MiB alloc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1405528,620,6.45,620,1,NA,NA,NA,NA,NA,NA,0,NA,194,18,3d35b45f7
2026-07-29T09:25:30+00:00,p1,mem-nospec,p1-nospec-mf0.94,nospec,0.94,0,256,default,"",stress,16384,256,96,96,CRASH,"torch.OutOfMemoryError: HIP out of memory. Tried to allocate 1.75 GiB. GPU 0 has a total capacity of 287.98 GiB of which 1.23 GiB is free. Of the allocated memory 270.64 GiB is allocated by PyTorch  with 238.00 MiB alloc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1348780,595,9.35,595,1,NA,NA,NA,NA,NA,NA,0,NA,195,81,3d35b45f7
2026-07-29T09:32:09+00:00,p1,mem-nospec,p1-nospec-mf0.93,nospec,0.93,0,256,default,"",stress,16384,256,96,96,OK,"",147.27,9572.5,0.5753,78.13,NA,75541.85,72095.07,156890.78,236.37,219.91,237.44,135816.46,128178,24576,24459,0.476,NA,1292032,570,12.21,570,1,19,77,0.99,0.14,NA,19,0,True,194,183,3d35b45f7
2026-07-29T09:38:43+00:00,p1,mem-dspark,p1-dspark-mf0.85,dspark,0.85,0,256,default,"",stress,16384,256,48,48,OK,"",76.6,4978.81,0.2992,40.09,2.629,57127.05,40610.84,129382.32,301.36,316.69,303.35,133974.6,133626.84,12288,12199,0.724,NA,551629,48,30.38,NA,NA,16,32,0.96,0.67,2.68,16,0,True,194,176,3d35b45f7
2026-07-29T09:43:43+00:00,p1,mem-dspark,p1-dspark-mf0.93,dspark,0.93,0,256,default,"",stress,16384,256,48,48,CRASH,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1263617,48,10.30,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,195,83,3d35b45f7
2026-07-29T09:50:15+00:00,p1,mem-dspark,p1-dspark-mf0.92,dspark,0.92,0,256,default,"",stress,16384,256,48,48,OK,"",77.32,5025.53,0.302,45.54,2.674,41319.87,40515.06,108396.81,429.32,424.26,430.98,150797.06,152181.1,12288,12234,0.439,NA,1174618,48,12.81,NA,NA,24,47,0.66,0.98,2.69,1,0,True,194,175,3d35b45f7
2026-07-29T09:58:19+00:00,p2,nospec,p2-base-mf0.93,nospec,0.93,0,256,default,"",w2,8192,1024,96,192,OK,"",788.23,7094.1,0.7698,95.96,NA,29658.38,29530.24,57719.78,92.87,92.79,95.06,124667.92,124675.78,196608,192185,2.25,NA,1292032,570,12.21,570,1,96,96,0.69,0.17,NA,0,0,True,194,267,3d35b45f7
2026-07-29T10:03:38+00:00,p2,nospec,p2-base-mf0.93,nospec,0.93,0,256,default,"",w2,8192,1024,128,256,OK,"",875.08,7875.74,0.8546,127.96,NA,39199.7,39005.09,76325,108.05,108.23,110.59,149734.7,149732.6,262144,256367,2.204,NA,1292032,570,12.21,570,1,128,128,0.92,0.22,NA,0,0,True,194,317,3d35b45f7
2026-07-29T10:10:56+00:00,p2,nospec,p2-base-mf0.93,nospec,0.93,0,256,default,"",w2,8192,1024,160,320,OK,"",782.68,7044.08,0.7643,138.75,NA,61876.84,48425.12,184108.05,116.97,119.75,119.48,181535.95,171086.2,327680,320938,2.057,NA,1292032,570,12.21,570,1,138,138,0.99,0.24,NA,22,0,True,194,436,3d35b45f7
2026-07-29T10:19:17+00:00,p2,nospec,p2-base-mf0.93,nospec,0.93,0,256,default,"",w2,8192,1024,192,384,OK,"",816.92,7352.29,0.7978,167.59,NA,87730.62,60714.27,202672.45,119.6,118.72,122.28,210077.27,170824.91,393216,384832,2.132,NA,1292032,570,12.21,570,1,138,138,0.99,0.24,NA,54,0,True,194,499,3d35b45f7
2026-07-29T10:28:34+00:00,p2,nospec,p2-cp8192,nospec,0.93,0,256,8192,"",w2,8192,1024,128,256,OK,"",815.79,7342.14,0.7967,127.97,NA,44416.88,43965,87139.24,113.6,114.03,115.84,160625.15,160627.29,262144,257202,1.885,NA,1292032,570,12.21,570,1,128,128,0.92,0.22,NA,0,0,True,194,339,3d35b45f7
2026-07-29T10:37:31+00:00,p2,nospec,p2-cp32768,nospec,0.93,0,256,32768,"",w2,8192,1024,128,256,OK,"",876.96,7892.63,0.8564,127.96,NA,38998.67,39388.98,75987.77,107.93,107.74,110.84,149415.5,149423.81,262144,255445,2.555,NA,1292032,570,12.21,570,1,128,128,0.92,0.22,NA,0,0,True,194,319,3d35b45f7
